x	        y_upper		    x	         y_lower		    x	        V_upper (m/s)	x	        V_lower (m/s)
0.194183423	0.057721965		0.197480971	-0.057860809		0.194183423	15.03130068		0.197480971	8.76224857
0.200803312	0.057989735		0.204150448	-0.058111224		0.200803312	14.94088351		0.204150448	8.811413054
0.207522376	0.058225275		0.210919099	-0.058329408		0.207522376	14.85159924		0.210919099	8.857764955
0.214340614	0.058423623		0.21776213	-0.05851288		    0.214340614	14.76346843		0.21776213	8.901460554
0.22120844	0.05859222		0.224704336	-0.058661642		0.22120844	14.67651185		0.224704336	8.942594702
0.228200233	0.058723626		0.231720923	-0.058778172		0.228200233	14.59075049		0.231720923	8.981258264
0.235241614	0.0588228		0.238811891	-0.058859991		0.235241614	14.50620557		0.238811891	9.017649361
0.242382168	0.058889743		0.245977239	-0.058909578		0.242382168	14.42255179		0.245977239	9.051740164
0.249597104	0.058921975		0.253241762	-0.058924454		0.249597104	14.34015342		0.253241762	9.083721704
0.256896338	0.058921975		0.260570749	-0.058909578		0.256896338	14.25868157		0.260570749	9.113616187
0.264264994	0.058887264		0.267979074	-0.058857511		0.264264994	14.17815221		0.267979074	9.141608174
0.27171051	0.058820321		0.275459301	-0.058775692		0.27171051	14.09833323		0.275459301	9.167715092
0.279225448	0.058721146		0.28301143	-0.058661642		0.279225448	14.01948644		0.28301143	9.191953002
0.286812288	0.05859222		0.29063298	-0.05851288		    0.286812288	13.94152072		0.29063298	9.214553706
0.294468549	0.058428582		0.298323953	-0.058334366		0.294468549	13.86437882		0.298323953	9.235420943
0.302191754	0.058232713		0.306079389	-0.058123621		0.302191754	13.78800203		0.306079389	9.254782547
0.309981901	0.058007091		0.313899288	-0.057883123		0.309981901	13.71243961		0.313899288	9.272540105
0.317834032	0.057751717		0.321781172	-0.057610393		0.317834032	13.6375951		0.321781172	9.288918129
0.325745667	0.057464111		0.329725039	-0.057310391		0.325745667	13.56348038		0.329725039	9.303816421
0.333719287	0.057146753		0.337725932	-0.056978157		0.333719287	13.49007042		0.337725932	9.317403072
0.341747452	0.056802122		0.345783849	-0.05661617		    0.341747452	13.41733953		0.345783849	9.32968381
0.349832643	0.05642526		0.353896313	-0.056226911		0.349832643	13.3452988		0.353896313	9.340770846
0.35797238	0.056021124		0.362060843	-0.055810379		0.35797238	13.2739218		0.362060843	9.350614953
0.366161704	0.055589716		0.370274961	-0.055364094		0.366161704	13.20314357		0.370274961	9.359326899
0.374400615	0.055131034		0.378538666	-0.054890536		0.374400615	13.13304991		0.378538666	9.366963222
0.382686634	0.05464508		0.386846999	-0.054392185		0.382686634	13.06353704		0.386846999	9.373526551
0.391017281	0.054134332		0.395197481	-0.05386904		    0.391017281	12.99465275		0.395197481	9.379072449
0.399390078	0.053596311		0.403592592	-0.053318622		0.399390078	12.9263684		0.403592592	9.383656004
0.407805023	0.053033496		0.412024893	-0.052743411		0.407805023	12.85865467		0.412024893	9.387331889
0.416257159	0.052448367		0.420496864	-0.052145886		0.416257159	12.79155972		0.420496864	9.390101171
0.424744006	0.051838445		0.429001066	-0.051526046		0.424744006	12.72497544		0.429001066	9.392017888
0.433268044	0.051206208		0.43753998	-0.050881412		0.433268044	12.6589889		0.43753998	9.393135792
0.441819354	0.050551657		0.446108646	-0.050216944		0.441819354	12.59356979		0.446108646	9.393455168
0.450402896	0.049877272		0.454704584	-0.049530161		0.450402896	12.52868708		0.454704584	9.39302933
0.459011231	0.049180572		0.463325317	-0.048826023		0.459011231	12.46434916		0.463325317	9.391911414
0.467644361	0.048466516		0.471970843	-0.04810205		    0.467644361	12.4005645		0.471970843	9.390101171
0.476299804	0.047732626		0.480635708	-0.047358243		0.476299804	12.33734169		0.480635708	9.387651463
0.48497533	0.046978901		0.489319168	-0.046597079		0.48497533	12.27460794		0.489319168	9.384561791
0.493666972	0.046210299		0.498018248	-0.04582104		    0.493666972	12.21241172		0.498018248	9.38088482
0.502373044	0.045426822		0.506730717	-0.045027645		0.502373044	12.15076129		0.506730717	9.37661986
0.511090918	0.044625989		0.515453599	-0.044221853		0.511090918	12.08966501		0.515453599	9.371872812
0.519818263	0.043812759		0.524184663	-0.043401185		0.519818263	12.02904818		0.524184663	9.366589561
0.528552302	0.042984653		0.532920933	-0.042565641		0.528552302	11.96900163		0.532920933	9.360822613
0.537289564	0.04214415		0.541660675	-0.04172018		    0.537289564	11.90945003		0.541660675	9.354624525
0.546029306	0.04129373		0.550400417	-0.040862321		0.546029306	11.85040084		0.550400417	9.347994437
0.554769048	0.040430913		0.559137679	-0.039997025		0.554769048	11.791904		0.559137679	9.340984959
0.563503831	0.039558178		0.567869982	-0.039119332		0.563503831	11.73392517		0.567869982	9.333541664
0.572231175	0.038678006		0.576592369	-0.03823668		    0.572231175	11.67647207		0.576592369	9.325770746
0.580951082	0.037790395		0.585307317	-0.03734411		    0.580951082	11.61955249		0.585307317	9.317671383
0.589658592	0.036895346		0.594007388	-0.036446582		0.589658592	11.5631743		0.594007388	9.309242719
0.598351226	0.035995339		0.602690105	-0.035544095		0.598351226	11.50730203		0.602690105	9.300591379
0.607026504	0.035090373		0.611355466	-0.03463665		    0.607026504	11.45194307		0.611355466	9.291609118
0.615679468	0.034180448		0.619998512	-0.033726725		0.615679468	11.39714877		0.619998512	9.282402706
0.624310118	0.033270523		0.628616765	-0.032814321		0.624310118	11.34288323		0.628616765	9.272971476
0.632915975	0.032355639		0.637207746	-0.031899437		0.632915975	11.2891098		0.637207746	9.263368718
0.641492078	0.031443235		0.645768973	-0.030984554		0.641492078	11.23592453		0.645768973	9.253593896
0.650035951	0.030528351		0.65429549	-0.030072149		0.650035951	11.1832464		0.65429549	9.243592375
0.658547591	0.029615947		0.662787296	-0.029159745		0.658547591	11.13112753		0.662787296	9.23352587
0.667019562	0.028703543		0.671239432	-0.02824982		    0.667019562	11.07953068		0.671239432	9.223285749
0.675449384	0.027796097		0.679649419	-0.027342375		0.675449384	11.02846317		0.679649419	9.212979974
0.683837057	0.026891131		0.688014777	-0.026442367		0.683837057	10.97797796		0.688014777	9.202553993
0.692177621	0.025993603		0.696330548	-0.025544839		0.692177621	10.92803734		0.696330548	9.192116187
0.700471078	0.025098555		0.704596732	-0.024654997		0.700471078	10.87864881		0.704596732	9.181557602
0.708709989	0.024212432		0.71280837	-0.023771849		0.708709989	10.82981994		0.71280837	9.17104138
0.716894354	0.023333251		0.720962983	-0.022896883		0.716894354	10.78155833		0.720962983	9.160458504
0.725019215	0.022462748		0.729058091	-0.022030843		0.725019215	10.73387162		0.729058091	9.149918032
0.733082092	0.02160117		0.737091216	-0.021174225		0.733082092	10.68672073		0.737091216	9.139365405
0.741082984	0.020750006		0.745057397	-0.020328267		0.741082984	10.64015977		0.745057397	9.12885535
0.749014455	0.019909503		0.752956636	-0.019493715		0.749014455	10.59414933		0.752956636	9.11844285
0.756874024	0.019080901		0.760766618	-0.018671311		0.756874024	10.5486966		0.760766618	9.108018445
0.764659212	0.018264696		0.768527013	-0.017861553		0.764659212	10.50385643		0.768527013	9.097746974
0.77237002	0.017461632		0.776188233	-0.01706543		    0.77237002	10.45960802		0.776188233	9.087573934
0.780006446	0.0166727		0.783799866	-0.01628344		    0.780006446	10.41592531		0.783799866	9.077499656
0.787543699	0.015898148		0.791287531	-0.015516327		0.787543699	10.37282989		0.791287531	9.067524469
0.79500657	0.01513872		0.798700816	-0.014764833		0.79500657	10.33032913		0.798700816	9.057759105
0.802395061	0.01439516		0.806039719	-0.014029703		0.802395061	10.28841582		0.806039719	9.048093722
0.809659584	0.013668212		0.813279449	-0.013310936		0.809659584	10.24710203		0.813279449	9.038639278
0.816849726	0.012958124		0.820420003	-0.012609526		0.816849726	10.20638526		0.820420003	9.029396436
0.823940694	0.012265639		0.827461384	-0.011925966		0.823940694	10.16627267		0.827461384	9.020310416
0.830932487	0.011591005		0.834378797	-0.011260506		0.830932487	10.12676651		0.834378797	9.011437177
0.837825106	0.010934718		0.841221828	-0.010613641		0.837825106	10.087864		0.841221828	9.002832887
0.844593757	0.010297523		0.847940892	-0.009986116		0.844593757	10.04957362		0.847940892	8.994442729
0.851263234	0.009679419		0.854560781	-0.009377681		0.851263234	10.01189542		0.854560781	8.986267301
0.857808742	0.009080901		0.861056703	-0.008789081		0.857808742	9.974831828		0.861056703	8.978418569
0.864255076	0.008502219		0.867428656	-0.008220316		0.864255076	9.938385181		0.867428656	8.970841655
0.870577443	0.007943619		0.873701436	-0.00767213		    0.870577443	9.902560275		0.873701436	8.963537248
0.876775841	0.00740535		0.879850247	-0.007144026		0.876775841	9.867355269		0.879850247	8.95656184
0.882875065	0.00688766		0.885850296	-0.006636501		0.882875065	9.83277682		0.885850296	8.949860334
0.888825527	0.006390549		0.891751171	-0.006149803		0.888825527	9.798821358		0.891751171	8.943489252
0.894627228	0.005914264		0.897503285	-0.005683931		0.894627228	9.765495379		0.897503285	8.937505245
0.900329755	0.005458558		0.903131431	-0.005238638		0.900329755	9.732800214		0.903131431	8.931797132
0.90588352	0.005023926		0.908610815	-0.004814172		0.90588352	9.700737085		0.908610815	8.926533482
0.911288523	0.004609873		0.913966231	-0.004410532		0.911288523	9.669307111		0.913966231	8.921546951
0.916569558	0.004216398		0.919172886	-0.004027471		0.916569558	9.638511296		0.919172886	8.917006224
0.921726626	0.003843503		0.924230779	-0.003664741		0.921726626	9.608350535		0.924230779	8.912855883
0.926710138	0.003490938		0.92913991	-0.003322342		0.926710138	9.578825607		0.92913991	8.909040352
0.931544889	0.003158704		0.933925074	-0.003000025		0.931544889	9.549942408		0.933925074	8.905728494
0.936255672	0.002846057		0.938536682	-0.002697295		0.936255672	9.521696277		0.938536682	8.902752383
0.940792899	0.002553244		0.942999529	-0.002414202		0.940792899	9.494087634		0.942999529	8.900224716
0.945181365	0.00227982		0.947313614	-0.002150175		0.945181365	9.467100929		0.947313614	8.898202066
0.94942107	0.002025215		0.951478938	-0.001904867		0.94942107	9.440815643		0.951478938	8.896572374
0.953487219	0.001789081		0.955470706	-0.001677832		0.953487219	9.415094264		0.955470706	8.895392066
0.957404607	0.001571021		0.959313713	-0.001468599		0.957404607	9.390047923		0.959313713	8.89466132
0.961173233	0.001370515		0.962983165	-0.001276672		0.961173233	9.365682036		0.962983165	8.894436463
0.964768304	0.001187018		0.966503855	-0.00110148		    0.964768304	9.341894883		0.966503855	8.89466132
0.96818982	0.001019984		0.969826197	-0.000942454		0.96818982	9.318798206		0.969826197	8.895392066
0.97143778	0.000868817		0.972999777	-0.000798974		0.97143778	9.296289582		0.972999777	8.896628575
0.97453698	0.000732849		0.975999802	-0.000670369		0.97453698	9.274481118		0.975999802	8.898370637
0.97743783	0.00061146		0.978851065	-0.000555996		0.97743783	9.253269692		0.978851065	8.90056178
0.980189919	0.000503905		0.981503979	-0.000455111		0.980189919	9.232713577		0.981503979	8.90331399
0.982768453	0.000409491		0.983983339	-0.00036697		    0.982768453	9.212762886		0.983983339	8.906626746
0.985173431	0.000327449		0.986289143	-0.000290804		0.985173431	9.193475948		0.986289143	8.910443311
0.987380061	0.000256986		0.988421392	-0.00022583		    0.987380061	9.174856947		0.988421392	8.914763037
0.989437929	0.000197278		0.990380086	-0.000171207		0.989437929	9.156800751		0.990380086	8.919641248
0.991297449	0.000147519		0.992165225	-0.000126098		0.991297449	9.139420113		0.992165225	8.925133052
0.992983413	0.000106841		0.993752014	-8.96363E-05		0.992983413	9.122664085		0.993752014	8.931125349
0.994495822	7.43733E-05		0.995190043	-6.09377E-05		0.994495822	9.106536114		0.995190043	8.937673075
0.995809883	4.92178E-05		0.996404929	-3.9097E-05		    0.995809883	9.091039545		0.996404929	8.944775011
0.996975182	3.04639E-05		0.997471053	-2.32028E-05		0.996975182	9.07612252		0.997471053	8.952485688
0.997917338	1.71941E-05		0.998338829	-1.23222E-05		0.997917338	9.06184308		0.998338829	8.960747737
0.998710733	8.4685E-06		0.99903305	-5.51484E-06		0.998710733	9.048204242		0.99903305	8.969615376
0.999305779	3.34218E-06		0.999528922	-1.83098E-06		0.999305779	9.035153568		0.999528922	8.979031128
0.99972727	8.61677E-07		0.999851238	-3.14085E-07		0.99972727	9.022749027		0.999851238	8.989048893
0.999950413	6.78477E-08		1	        -2.51308E-09	    0.999950413	9.01088231		1	        8.99966666
1	       -2.51308E-09	                                    1	        8.99966666			
